title,context,question,id,answers
제주도 장마 시작 … 중부는 이달 말부터,"올여름 장마가 17일 제주도에서 시작됐다. 서울 등 중부지방은 예년보다 사나흘 정도 늦은 이달 말께 장마가 시작될 전망이다.17일 기상청에 따르면 제주도 남쪽 먼바다에 있는 장마전선의 영향으로 이날 제주도 산간 및 내륙지역에 호우주의보가 내려지면서 곳곳에 100㎜에 육박하는 많은 비가 내렸다. 제주의 장마는 평년보다 2~3일, 지난해보다는 하루 일찍 시작됐다. 장마는 고온다습한 북태평양 기단과 한랭 습윤한 오호츠크해 기단이 만나 형성되는 장마전선에서 내리는 비를 뜻한다.장마전선은 18일 제주도 먼 남쪽 해상으로 내려갔다가 20일께 다시 북상해 전남 남해안까지 영향을 줄 것으로 보인다. 이에 따라 20~21일 남부지방에도 예년보다 사흘 정도 장마가 일찍 찾아올 전망이다. 그러나 장마전선을 밀어올리는 북태평양 고기압 세력이 약해 서울 등 중부지방은 평년보다 사나흘가량 늦은 이달 말부터 장마가 시작될 것이라는 게 기상청의 설명이다. 장마전선은 이후 한 달가량 한반도 중남부를 오르내리며 곳곳에 비를 뿌릴 전망이다. 최근 30년간 평균치에 따르면 중부지방의 장마 시작일은 6월24~25일이었으며 장마기간은 32일, 강수일수는 17.2일이었다.기상청은 올해 장마기간의 평균 강수량이 350~400㎜로 평년과 비슷하거나 적을 것으로 내다봤다. 브라질 월드컵 한국과 러시아의 경기가 열리는 18일 오전 서울은 대체로 구름이 많이 끼지만 비는 오지 않을 것으로 예상돼 거리 응원에는 지장이 없을 전망이다.",북태평양 기단과 오호츠크해 기단이 만나 국내에 머무르는 기간은?,klue-mrc-v1_train_12759,"{'text': ['한 달가량'], 'answer_start': [478]}"
나루세 요시히사,"시범 경기에서는 16이닝을 던져 15실점을 기록하는 등 성적이 좋지 않았지만 본인으로서는 처음으로 개막전 선발 투수로 지명되었다. 요코하마 고등학교의 후배이기도 한 사이타마 세이부 라이온스의 와쿠이 히데아키도 개막전 선발로 등판해 5이닝까지 노히트로 처리하였지만 7회에 2점 홈런을 허용하면서 역전당했다. 타선에서도 1점을 따는데만 그쳐 3안타 2실점을 기록하여 패전 투수가 되었다. 그 외에도 다르빗슈 유, 이와쿠마 히사시도 개막전 선발 투수로서 등판하였지만 모두 패전 투수가 되었기 때문에 개막전 투수가 3명 모두 완투패를 당한 것이어서 50년 만에 일본 프로 야구에서의 진기록이 나왔다.

정규 시즌에서는 팀내 최다인 13승을 올려 203.2 이닝의 완투 7개, 무볼넷 경기 4차례, 탈삼진 192개, WHIP은 1.02의 좋은 성적을 남겼다. 그러나 피홈런 개수가 증가되면서 29개가 나와 11패를 기록했다. 오릭스 버펄로스 전에서는 7전 7승이라는 기대 이상의 성적을 나타냈고 최종전에서도 승리해 팀을 클라이맥스 시리즈 진출에 기여했다.

클라이맥스 시리즈 파이널 스테이지에서는 후쿠오카 소프트뱅크 호크스와 상대하면서 시즌에서는 평균자책점이 3.32였지만 0승 4패라는 최악의 성적을 남겼다. 그러나 퍼스트 스테이지 1차전(세이부전, 7과 0/3이닝, 2실점)에서 1실점 완투 승리를 거뒀고 최종전인 6차전에서도 4개의 피안타와 완봉 승리를 거두는 등 클라이맥스 시리즈 사상 시즌 3위였던 팀이 처음으로 일본 시리즈 진출에 기여하여 자신도 파이널 스테이지 MVP에 선정되었다. 일본 시리즈에서도 1차전과 6차전에 선발 등판해 1차전에서는 2실점 호투하여 승리해 자신으로서는 처음으로 일본 시리즈의 승리 투수가 되었다.",개막전에서 3안타 2실점을 기록해서 패한 선수는?,klue-mrc-v1_train_02773,"{'text': ['와쿠이 히데아키'], 'answer_start': [107]}"
편의점 휩쓴 ‘맛집 라면’,"유명 맛집 이름을 달고 나온 편의점 자체상표(PB) 라면이 인기를 끌고 있다. ‘검증된 맛’을 상품화했다는 이점을 등에 업고 소셜네트워크서비스(SNS)에서 입소문을 탄 덕분이다.15일 업계에 따르면 GS25가 지난해 12월24일 출시한 ‘오모리 김치찌개라면’(1500원)은 누적 판매량 150만개를 넘기며 올 들어 GS25의 용기면 판매 순위에서 1위를 지키고 있다. 김치찌개 맛집으로 유명한 오모리와 손잡고 개발한 이 제품은 동결건조 김치를 넣는 기존 김치찌개 라면과 달리, 묵은 김치맛을 살리기 위해 김치 원물과 찌개 양념을 레토르트 방식으로 포장한 점이 특징이다. SNS에서는 오모리 김치찌개라면에 참치, 햄, 고기 등을 넣어 실제 찌개처럼 끓여 먹는 비법이 활발하게 공유되고 있다.세븐일레븐에서는 작년 10월 첫선을 보인 ‘교동반점 짬뽕’(1500원)이 출시 5개월 만에 14만개 팔리며 컵라면 매출 1위를 지키고 있다. 전국 5대 짬뽕집으로 꼽히는 강릉 교동반점과 협약을 맺고 개발한 상품이다. 후추를 첨가한 교동반점 특유의 매운 국물 맛과 풍성한 건더기를 살린 점이 호평받고 있다. 이 제품은 판매 시작 보름 만에 세븐일레븐에서 한 번도 컵라면 매출 1위 자리를 내놓은 적이 없던 삼양식품 ‘불닭볶음면’을 제치는 파란을 일으켰다. GS25가 2006년 출시한 ‘공화춘 짜장면’은 스테디셀러로 자리 잡았다. 1905년 설립돼 국내 최초로 짜장면을 만들어 판 인천 차이나타운의 중국음식점 공화춘의 짜장면을 상품화한 것이다. 공화춘 시리즈의 매출 증가율(전년 대비)은 2011년 40.2%, 2012년 26.7%, 2013년 30.7%, 지난해 18.7% 등 꾸준히 두 자릿수를 기록 중이다.",컵라면 매출에서 불닭볶음면을 이긴 상품은?,klue-mrc-v1_train_13810,"{'text': ['‘교동반점 짬뽕’'], 'answer_start': [408]}"
사모펀드 ACP 아난드 프라카시 전무 ...“아시아 친환경 투자 황금기 온다”,"“앞으로 5년 안에 아시아 친환경·신재생에너지 투자의 황금기가 도래할 것입니다.”기후변화 관련 전문 투자 사모펀드인 ACP(Asia Climate Partners)의 아난드 프라카시 전무는 13일 ASK 2015 연사로 나와 “세계 1, 2위 인구 대국인 중국과 인도의 도시 이주자가 5억명에 달해 하수도나 전력, 공기 정화 등을 위한 관련 투자가 급증할 것”이라며 이같이 말했다.그는 지난 10년간 통신 관련 인프라 투자가 경제 성장을 이끈 것처럼 앞으로는 친환경과 신재생에너지 투자가 성장 흐름을 바꾸는 ‘게임체인저’가 될 것이라고 내다봤다.중국은 만성적인 스모그 등 환경오염 문제를 해결하기 위해 2020년까지 전체 전력 생산량의 15%를 신재생에너지로 충당할 계획이다. 지난해 중국에서 건설된 신규 발전소 가운데 신재생에너지 발전 용량이 차지하는 비중은 32%에 달했다.프라카시 전무는 “지난해 세계 신재생에너지 투자액은 전년보다 16% 증가한 3100억달러에 달했다”며 “2030년에는 전체 에너지 생산의 60%를 신재생에너지가 담당할 것”이라고 설명했다. 그는 태양열발전소와 풍력발전 분야에만 앞으로 5년 동안 2000억달러(약 220조원)의 투자가 이뤄질 것으로 전망했다. 이 중 “수익률이 높지 않은 유럽 시장보다는 아시아 시장을 겨냥해야 한다”는 게 그의 조언이다.환경오염이 심한 지역을 중심으로 세제 등 정부의 정책적 지원이 늘어나는 점도 주목했다. 그는 “기후변화와 관련한 투자는 각 국가 정책의 선택이 아닌 필수가 되고 있다”며 “발전 차액 지원 제도 등이 시행되면 수익률은 높아질 수밖에 없다”고 강조했다. 특히 폐기물 재활용이나 신선물류(콜드체인) 시스템 등은 발전 가능성이 크다고 예상했다. ACP는 아시아개발은행(ADB)과 투자사인 오릭스, 로베코가 아시아 전반의 기후변화 관련 투자를 위해 4억달러를 모아 설립한 회사다.",정부에게 환경과 관련해서 우선적으로 원조 받고 있는 곳은?,klue-mrc-v1_train_13370,"{'text': ['환경오염이 심한 지역'], 'answer_start': [661]}"
"에티하드항공, ‘최고의 이코노미 클래스 및 상용 고객 프로그램 상‘ 수상","아랍 에미리트의 국영항공사 에티하드항공이 지난 10월 21일 열린 ’2020비즈니스 트래블러 중동 어워드(Business Traveller Middle East Awards 2020)에서 ‘최고의 이코노미 클래스(Best Economy Class)’와 ‘최고의 상용고객 프로그램(Best Frequent Flyer Programme’)’상의 영예를 안았다. 이는 2012년과 2013년에 열린 비즈니스 트래블러 중동 어워드에서 각각 최고의 이코노미 클래스, 최고의 상용 고객프로그램 분야의 첫 수상을 한 이래로 2회째 수상 기록이다. 지난 해, 에티하드항공은 다양한 수상 경력을 지닌 비즈니스, 퍼스트, 더 레지던스 캐빈에서 펼쳐 온 혁신과 마찬가지로 이코노미석에서도 기내식 선택권을 넓히고 무선 기내 엔터테인먼트, 인체공학적 디자인으로 설계된 좌석과 여유로운 레그룸을 가진 이코노미석 도입을 비롯해 옆 좌석 비우기, 보다 넉넉한 이코노미 스페이스 석 선택 옵션, 선호좌석 선택 사항을 제공하는 등 기내 경험에 대한 더욱 다양한 선택권을 제공해 왔다. 이를 통해 승객이 개인의 필요와 요구에 맞는 맞춤화된 선택을 할 수 있도록 돕고 만족도 높은 항공 여행을 할 수 있도록 서비스와 상품 개선에 투자를 지속해 왔다. 또한, 에티하드항공은 항공사의 건강 및 위생 프로그램인 ‘에티하드 웰니스’프로그램을 통해 신종코로나바이러스로 인한 전례 없는 시기에 필수적인 여행을 해야만 하는 여행자들에게 마음의 평화와 여행에 대한 자신감을 심어주기 위해 펼친 다양한 노력이 고객의 긍정적인 평가를 받았다고 전했다. 예약 과정에서부터 공항 이용은 물론 항공여행에 이르기까지 인공지능 기술을 비롯한 최신 기술을 과감히 도입해 광범위한 예방 조치를 시행하고 있으며 업계 최초로 선보인 에티하드 웰니스 프로그램에서는 특별 훈련 과정을 거친 에티하드항공의 웰니스 엠버서더가 여행 전 과정에 걸친 조언과 건강 및 위생 조치에 대한 세부 사항을 공유하며 맞춤화된 정보를 제공한다. 한 해 동안, 에티하드항공은 에티하드 게스트 회원의 경험을 향상시키고 혜택의 범위를 확장함으로써 더 나은 가치를 선사하기 위한 노력을 펼쳐왔다. 최근에는 “당신의 특별한 손님(Your Special Guest)” 캠페인과 함께 삶의 소중한 사람을 지정해 선물을 보내주는 캠페인을 펼치며 비대면의 시대에서도 따뜻한 마음과 정을 표현할 수 있는 기회를 제공했다. 더불어 코로나19로 인한 팬데믹 상황을 고려해 추가 마일리지를 지급하거나 항공권 예약 및 변경에 있어 유연한 정책 도입을 도입함은 물론 파트너십의 범위를 확장해 회원 등급을 유지하기 위한 마일리지를 적립할 수 있는 방법을 다양화 했다. 한편, 신종코로나바이러스 상황으로 인해 올해 2020비즈니스 트래블러 중동 어워드는 온라인으로 개최되었으며 독자의 투표를 기반으로 선정됐다.",에티하드 웰니스 프로그램의 일환으로 위생에 관한 정보를 제공하는 것은 누구인가?,klue-mrc-v1_train_17278,"{'text': ['웰니스 엠버서더'], 'answer_start': [913]}"
"특집 인터넷 LIVE AI 인재 100만 강국, 더 큰 대한민국! 제3차 국회 ICT 융합포럼 개최","방송일시(인터넷 LIVE) : 2020년 12월 10일 (목) 낮 15:00 – 17:10 방송채널 : 유튜브(EBSlearning), 이솦(EBS 소프트웨어 사이트) 4차 산업혁명의 핵심 성장 동력인 AI는 이미 사회 전반에 걸쳐 광범위한 영향을 미치고 세계 산업과 사회를 혁신시키는 중요한 역할을 하고 있다. 그러나 전 세계 인공지능 핵심 인재 500명 가운데 우리나라 출신 비율은 1.4%에 불과한 실정이다. 이는 미국(14.6%)과 중국(13.0%)의 10분의 1 수준으로, 싱가포르(6.2%), 프랑스(2.8%), 대만(1.8%), 이스라엘(1.6%)보다도 낮다. 10일 오후 3시 EBS 스페이스 홀에서 열리는 제3차 국회 ICT 융합포럼에서는 AI 인재 100만 강국, 더 큰 대한민국! 을 주제로 미래 핵심기술로서의 AI 산업 경쟁력을 높이고 인재 양성을 지원하는 방안을 모색한다. 한편 이번 포럼은 국회 ICT 융합포럼(대표의원 : 변재일 더불어민주당 의원•조명희 국민의힘 의원)과 국회 국토공간정보정책포럼, EBS(사장 김명중)가 공동으로 주최하며 코로나19 확산 방지를 위해 EBS 유튜브(EBSLearning) 및 EBS 이솦을 통해 전국의 AI 전공 대학 및 대학원생을 대상으로 생중계 될 예정이다. 국회 ICT 융합포럼 대표의원인 조명희 의원(국민의힘)의 개회사를 시작으로, 대표의원인 변재일 의원(더불어민주당)의 환영사, 그리고 박병석 국회의장, 여야 당 대표 및 원내대표의 축사에 이어 기조연설과 주제발표가 진행된다. 기조연설은 인공지능 분야에서 가장 권위 있는 학회인 AAAI 학술대회(AAAI-2015)에서 ‘상상력 기계(Imagination Machine)’를 발표하여 세계적 주목을 받았던 장병탁 서울대 AI 연구원장이 <대한민국에는 어떤 AI 인재가 필요한가?>를 주제로 한국판 뉴딜의 성공을 위한 AI․인재 양성의 중요성과 육성방안을 제시한다. 주제발표는 <AI기술과 교육>, <AI산업과 전망>을 중심으로 함진호 한국전자통신연구원 전문연구위원(AI 아카데미 준비 TF 위원장), 김준석, 현대자동차 AIR LAB 실장, 김채희 KT AI • 빅데이터사업본부장, 하정우 네이버 AI LAB 연구소장이 연사로 나서서 현재 우리나라AI 교육현황과 기업의 AI 기술 전략을 발표한다. 한편 국회 ICT 융합포럼 대표의원인 조명희 의원(국민의힘)이 좌장으로 진행하는 주제토론에는 홍성완 과장(과학기술정보통신부 소프트웨어정책과) 등 정책 담당자와 이기준교수(부산대 컴퓨터공학부), 성미영교수(인천대 켬퓨터공학부) 등 학계전문가, 김광범 EBS 학교교육본부장, 김민준 대표(AI클라우드 벤처기업)가 참여해 AI 인재양성을 위한 교육정책과 협력방안을 모색한다. 특히 성미영교수(인천대 컴퓨터공학부)는 우수한 여성 IT 인재들이 재능을 낭비하고 사라져 버리는 현실에 대한 개선방안을, 김광범 EBS 학교교육본부장은 인공지능 교육 활성화를 위한 소프트웨어 교육과 ICT 활용 교육의 중요성을 그리고 홍성완 과장(과학기술정보통신부 소프트웨어정책과)은 한국판 뉴딜인 AI․ SW 핵심 인재 10만 양성을 위한 핵심 사업과 구체적인 추진 과제를 제시한다. 행사를 주관한 국회 ICT 융합포럼 대표의원인 조명희 의원(국민의힘)은 이번 포럼에 발표된 내용을 토대로 미래 핵심기술인 AI 산업 경쟁력을 높이고 인재 양성 지원 정책을 발굴하여 , 코로나 이후 본격화 될 ‘비욘드 사피엔스’ 시대를 준비하는 데 앞장서겠다고 각오를 밝혔다.",2015년에 열렸던 AAAI에 논문을 개재한 사람의 소속 학교는?,klue-mrc-v1_train_07644,"{'text': ['서울대'], 'answer_start': [858]}"
"코로나 19 심각 단계 격상에 따라 2020 정동극장 레퍼토리 적벽, 3월 8일까지 잠정 중단","(재)정동극장(대표이사 김희철)은 정부가 23일 코로나 19 위기 경보를 ‘심각’ 단계로 높임에 따라 이에 대한 조치 사항으로 2월 14일 개막한 공연 <적벽>을 3월 8일까지 잠정 중단하기로 결정했다. 정동극장 레퍼토리 <적벽>은 오는 4월 5일까지 공연이 예정되어 있었다. 이번 <적벽> 공연 잠정 중단 결정에 따라 남은 기간 공연 예매자 환불 조치 등 후속 조치가 진행 된다. 정동극장은 ‘코로나 19’ 예방 조치를 위해 그동안 정기 방역 작업을 주 1회로 확대 실시하고, 공연장 로비에 열 감지기를 도입하였으며, 공연장 곳곳에 손 소독제 설치와 비 접촉식 체온계 및 관객 배포용 마스크를 비치하는 등 최선의 예방조치를 다 해 왔다. 그러나 정부 대응 단계가 ‘심각’으로 격상됨에 따라 사태의 심각성을 고려해 조치를 쥐하게 되었다. 한편, <적벽>은 2월 14일 첫 공연 이후, 좋은 관객 반응과 티켓 판매율 성장세를 보이고 있었다. 정동극장은 상한가 분위기 속 <적벽> 공연을 3월 8일까지 중단한 결정에 대해 “현재 감염병 위기경보 최고 수준인 ‘심각’ 단계로 정동극장은 추가 확진자 발생 및 2차 감염에 대한 우려로 국민의 건강과 안전을 최우선으로 고려해 깊은 고심 끝에 결정을 내렸다”고 그 이유를 설명했다. 3월 8일 이후 공연 <적벽> 재개에 대한 부분은 향후 상황 추이를 지켜보며, 정부 대응을 살펴 결정할 방침이다. 또한, 정동극장은 앞으로도 ‘코로나 19’ 예방 및 확산 방지를 위해 할 수 있는 최선을 다 할 것이라고 밝혔다.",코로나19 심각 단계 선언 전에 계획했던 적벽의 마지막 공연일은?,klue-mrc-v1_train_10973,"{'text': ['4월 5일'], 'answer_start': [133]}"
"삼성의 저력, 스파르타식 임원 교육","“제트기가 음속을 돌파하려면 비행기의 모든 소재가 다 바뀌어야 한다. 재료공학부터 기초물리, 화학까지 첨단기술이 총동원돼야 한다. 설계도는 물론이고 엔진과 부품을 완전히 바꿔야 한다.”6일 경기도 용인 삼성인력개발원에 모인 200여 삼성그룹 임원들은 이건희 회장이 7년 전 강조한 ‘마하경영’의 의미를 되새겼다. 김동재 연세대 국제학대학원 교수의 마하경영 강연에 이어 분임조별 토론이 벌어졌다. 이틀 동안 진행된 교육에서 강연과 토론에 할애된 시간만 20시간이 넘었다. 삼성이 매년 2월 진행하는 임원진 교육 현장이다. 삼성은 그룹 내 2000여명의 임원을 10개 조로 나눠 2월 한 달 동안 1박2일간 합숙 교육한다.올해는 한계돌파를 위한 마하경영에 임원 교육의 초점이 맞춰졌다. 지난 연말 열린 사장단 세미나와 지난달 신임 임원 교육에 이어 2월 기존 임원진 교육에서도 공통된 주제는 마하경영이다. 하나의 방향을 정하면 그대로 실행에 옮기는 삼성의 스파르타식 교육의 한 단면이다.이날 강연을 들은 한 임원은 “그룹 차원에서 설정한 방향과 가치를 공유하며 정신을 무장하는 자리”라며 “현업에서 이를 어떻게 실천할 것인지 고민해보는 시간을 가졌다”고 말했다. 그는 “삼성의 힘은 결국 이런 교육에서 나온다”고 덧붙였다. 이날 마하경영을 설명한 김 교수는 지난달 신임 임원 교육에서도 강연자로 나섰다. ‘마하(Mach)’는 음속 제트기의 속도를 측정하는 단위다. 그는 “음속을 돌파하려면 부분 개보수가 아니라 자기부정부터 시작해 행동부터 생각까지 근본적으로 바뀌어야 한다”고 강조했다.이 회장은 2006년 당시 전자 계열사 사장들에게 “삼성의 약점을 보완하고 성장하려면 마하1이나 2가 아니라 마하3은 돼야 한다”며 “현재 삼성은 음속 이하의 수준인 만큼 진정한 글로벌 선진 기업이 되려면 더 분발해야 한다”고 했다.1993년 신경영 선언 당시 “보잉747은 이륙할 때 몇분 만에 1만ｍ까지 올라가야 하는데 중간에 멈추면 그대로 추락하거나 공중폭발을 하고 만다”는 ‘비행기 이륙’에서 ‘제트기 음속’으로 진화한 개념이다. 올해 다시 등장한 마하경영은 속도에서 가치 향상으로의 지속적인 혁신에 중점을 뒀다. 1등을 빨리 따라잡아야 한다는 추격자에서 이젠 세계 1등 기업에 맞는 체질로의 변신을 요구하고 있는 것이다. 마하경영과 함께 2등을 확실히 따돌릴 정도의 차이를 벌릴 때까지 안심해서는 안 된다는 ‘초격차’와 변화의 주도권을 잡기 위한 ‘한계 돌파’도 화두로 제시됐다. 올해 승진한 300여 신임 임원들은 지난달 5박6일간 마하경영 교육과 함께 임원으로서의 기본소양과 리더십 교육을 받았다. 다른 기업들과 달리 삼성은 직원들 교육만큼 임원 교육 비중이 크다.신임임원 교육으로 입문한 이후엔 매년 1박2일간의 임원 교육에 참석해야 하고 부사장급이 되면 고위경영자 양성교육 후보군에 들어간다. 이는 미래 최고경영자(CEO) 후보들을 위한 핵심인재 교육으로 연 2회로 4주에 걸쳐 진행된다.이후 사장이 되면 매주 수요일 사장단회의에서 강연을 듣고 매년 말 다음해의 전략을 세우고 점검하는 1박2일간의 사장단 세미나에 참석해야 한다. 삼성그룹 관계자는 “인재 양성뿐 아니라 그룹의 핵심가치를 공유하고 전파하는 것도 교육”이라며 “삼성만의 DNA를 심기 위한 인재 관리의 핵심”이라고 말했다.",지난달 신임 임원 교육에서 강연했던 사람의 이름은?,klue-mrc-v1_train_12400,"{'text': ['김동재'], 'answer_start': [175]}"
"넥슨, ‘2020 카트라이더 리그 시즌2’ 일정 공개","㈜넥슨(대표 이정헌)은 온라인 레이싱게임 ‘카트라이더’에서 진행하는 e스포츠 대회 ‘2020 카트라이더 리그 시즌2’ 일정을 공개했다고 31일 밝혔다. 29번째 정규 대회 ‘2020 카트라이더 리그 시즌2’는 8월 22일 첫 본선 경기로 막을 올린다. 이후 11월 7일 결승전까지 12주 동안 매주 수요일, 토요일 오후 6시에 무관중으로 진행된다. 넥슨은 이번 시즌부터 CJ ENM 게임채널 OGN과 손잡는다. 서울 상암동 OGN e스타디움에서 무관중 경기가 운영되며, 주관 방송사인 OGN TV채널에서 모든 경기를 시청할 수 있다. 또 본선 팀전 진행방식을 기존 8강, 4강 전체 풀리그에서 8강 풀리그 이후 포스트시즌으로 변경한다. 포스트시즌 방식을 통해 와일드카드전, 준플레이오프 등 매 경기마다 더욱 치열한 승부가 펼쳐질 수 있도록 마련한다. 넥슨은 ‘2020 카트라이더 리그 시즌2’ 개막에 앞서 8월 1, 2일 양일 온라인 예선을 진행한다. 이날 예선전에서는 그랑프리 점수에 따라 선발된 32개 팀과 128명의 개인 선수가 참가해 본선 진출권을 두고 경합한다. 이 중 팀 지원 프로젝트 모집 결과 및 지난 시즌 최종 순위에 따라 ‘한화생명e스포츠’, ‘샌드박스 게이밍’, ‘성남 락스’, ‘아프리카 프릭스’ 팀과 박인수 선수는 시드를 제공받아 본선에 직행한다. ‘2020 카트라이더 리그 시즌2’에 대한 자세한 내용은 공식 홈페이지에서 확인할 수 있다.",2020 카트라이더 리그 시즌2'의 결승전은 언제인가?,klue-mrc-v1_train_12397,"{'text': ['11월 7일'], 'answer_start': [144]}"
"삼성, 日샤프에 자본수혈",삼성전자가 경영난을 겪고 있는 일본 샤프에 출자해 지분 3%를 확보한다. 일본에서 기술을 수입해 커온 삼성전자가 일본 경쟁 업체에 자본을 투자하는 첫 사례다. ▶관련기사 A3면삼성전자는 60인치 이상 대형 LCD TV 패널의 안정적 확보를 위한 것이라고 설명했다. 애플 견제 등 다목적 카드로 쓰일 수 있다는 관측도 나온다. 삼성전자는 6일 샤프에 104억엔(약 1200억원)을 출자하겠다고 발표했다. 니혼게이자이신문 등 일본 언론들도 이 사실을 일제히 보도했다. 샤프는 이달 중 제3자 배정 유상증자 형식으로 지분 3%를 삼성전자 일본 법인에 넘기기로 했다. 삼성이 지분 3% 인수를 마무리하면 니혼생명 미즈호코퍼레이트은행 등 금융사들에 이어 다섯 번째 대주주가 된다. 금융회사를 제외하면 삼성은 샤프의 최상위 주주로 올라선다.삼성전자는 출자 목적을 ‘TV 패널의 안정적 공급처 확보’라면서 경영에는 관여하지 않을 것이라고 밝혔다. 삼성전자는 2011년부터 10세대 액정표시장치(LCD) 공장을 보유한 샤프로부터 60인치 TV 패널을 공급받고 있다. 전체 TV 패널 수요량의 10% 이상을 샤프에서 받고 있는 것으로 알려졌다. 샤프는 출자를 받아 재무 상황을 개선하는 한편 삼성전자에 대한 TV 패널 공급량도 확대해 공장 가동률을 높일 계획인 것으로 알려졌다. 샤프는 올 3월 말 마감하는 2012 회계연도에 4500억엔의 적자가 예상되는 등 2년 연속 손실을 낼 것이라는 게 시장의 추정이다. 오는 9월까지 2000억엔 규모의 회사채 상환도 예정돼 있어 증자가 시급한 상황이다. 샤프는 작년 3월 대만 전자업체 훙하이로부터 669억엔을 출자받기로 합의했으나 진전을 이루지 못했다. 도쿄=안재석 특파원/김현석 기자,삼성전자가 LCD 공장을 보유한 회사에 출자하는 금액은?,klue-mrc-v1_train_15314,"{'text': ['104억엔'], 'answer_start': [195]}"
